host	server	test	cache	average	stdev
druid-0	envoy	untar	reset	215.7	4.75
druid-1	envoy	untar	reset	276.48	2.76
skiing-0	envoy	untar	reset	384.89	3.1
skiing-1	envoy	untar	reset	421.66	2.85
druid-0	envoy	tar	cold	201.03	1.2
druid-1	envoy	tar	cold	251.69	3.99
skiing-0	envoy	tar	cold	321.5	2.21
skiing-1	envoy	tar	cold	353.44	1.69
druid-0	envoy	tar	warm	124.07	5.62
druid-1	envoy	tar	warm	151.97	1.85
skiing-0	envoy	tar	warm	242.67	1.86
skiing-1	envoy	tar	warm	275.1	4.21
druid-0	envoy	tar	hot	79.89	1.46
druid-1	envoy	tar	hot	120.42	1.19
skiing-0	envoy	tar	hot	198.12	4.59
skiing-1	envoy	tar	hot	226.57	1.63
druid-0	envoy	rsync	cold	145.14	3.05
druid-1	envoy	rsync	cold	177.29	2.81
skiing-0	envoy	rsync	cold	223.15	3.94
skiing-1	envoy	rsync	cold	243.6	2.16
druid-0	envoy	rsync	warm	111.32	3.1
druid-1	envoy	rsync	warm	135.81	1.79
skiing-0	envoy	rsync	warm	188.52	2.97
skiing-1	envoy	rsync	warm	208.67	1.72
druid-0	envoy	rsync	hot	60.63	1.32
druid-1	envoy	rsync	hot	84.98	1.46
skiing-0	envoy	rsync	hot	136.35	2.33
skiing-1	envoy	rsync	hot	157.61	0.96
druid-0	envoy-ls	untar	reset	284.23	11.26
druid-1	envoy-ls	untar	reset	324.27	7.71
skiing-0	envoy-ls	untar	reset	413.8	12.02
skiing-1	envoy-ls	untar	reset	471.25	8.47
druid-0	envoy-ls	tar	cold	324.47	6.22
druid-1	envoy-ls	tar	cold	370.64	6.28
skiing-0	envoy-ls	tar	cold	440.25	6.93
skiing-1	envoy-ls	tar	cold	477	9.26
druid-0	envoy-ls	tar	warm	164.16	3.11
druid-1	envoy-ls	tar	warm	163.67	1.91
skiing-0	envoy-ls	tar	warm	253.17	5.88
skiing-1	envoy-ls	tar	warm	286.54	4.46
druid-0	envoy-ls	tar	hot	77.5	2.19
druid-1	envoy-ls	tar	hot	116.36	0.97
skiing-0	envoy-ls	tar	hot	192.59	6.45
skiing-1	envoy-ls	tar	hot	226.01	5.94
druid-0	envoy-ls	rsync	cold	347.64	7.35
druid-1	envoy-ls	rsync	cold	381.99	9.26
skiing-0	envoy-ls	rsync	cold	429.07	9.18
skiing-1	envoy-ls	rsync	cold	408.97	4.86
druid-0	envoy-ls	rsync	warm	129.01	2.8
druid-1	envoy-ls	rsync	warm	147.26	1.61
skiing-0	envoy-ls	rsync	warm	193.66	3.12
skiing-1	envoy-ls	rsync	warm	214.8	1.58
druid-0	envoy-ls	rsync	hot	57.94	1.17
druid-1	envoy-ls	rsync	hot	81.82	1.24
skiing-0	envoy-ls	rsync	hot	132.64	3.39
skiing-1	envoy-ls	rsync	hot	155.41	0.99
druid-0	nfs	untar	reset	240.76	6.44
druid-1	nfs	untar	reset	268.34	1.12
skiing-0	nfs	untar	reset	276.52	1.93
skiing-1	nfs	untar	reset	275.32	0.24
druid-0	nfs	tar	warm	436.92	0.94
druid-1	nfs	tar	warm	126.98	1.86
skiing-0	nfs	tar	warm	116.55	1.26
skiing-1	nfs	tar	warm	118.58	0.77
skiing-0	nfs	tar	hothothot	22.38	0.12
druid-0	nfs	tar	hothot	453.46	4.75
druid-1	nfs	tar	hothot	122.21	0.52
skiing-0	nfs	tar	hothot	44.05	0.1
skiing-1	nfs	tar	hothot	104.41	0.89
druid-0	nfs	tar	hot	433.58	3.37
druid-1	nfs	tar	hot	97.77	2.28
skiing-0	nfs	tar	hot	83.2	0.93
skiing-1	nfs	tar	hot	83.08	0.18
druid-0	nfs	rsync	warm	500.48	1.42
druid-1	nfs	rsync	warm	220.8	2.07
skiing-0	nfs	rsync	warm	216.17	1.45
skiing-1	nfs	rsync	warm	215.56	1.14
skiing-0	nfs	rsync	hothothot	23.47	0.04
druid-0	nfs	rsync	hothot	491.12	1.69
druid-1	nfs	rsync	hothot	163.11	1.44
skiing-0	nfs	rsync	hothot	44.95	0.09
skiing-1	nfs	rsync	hothot	150.31	0.38
druid-0	nfs	rsync	hot	491.76	4.84
druid-1	nfs	rsync	hot	174.48	6.28
skiing-0	nfs	rsync	hot	168.62	1.14
skiing-1	nfs	rsync	hot	167.86	0.52
druid-0	nocache	untar	reset	202.78	3.62
druid-1	nocache	untar	reset	259.98	0.96
skiing-0	nocache	untar	reset	368.31	2.33
skiing-1	nocache	untar	reset	407.17	1.13
druid-0	nocache	tar	warm	222.26	1.03
druid-1	nocache	tar	warm	269.84	2.96
skiing-0	nocache	tar	warm	341.88	2.05
skiing-1	nocache	tar	warm	374.77	4.53
druid-0	nocache	tar	hot	107.73	17.39
