server	machine	blockout		rewrite		blockin		seeks/s	
envoy	druid-0	17400.3	594.56	6859.3	349.83	38947.7	1418.28	89.95	4.63
envoy	druid-1	14729.5	255.54	6060.9	159.13	32525.9	1232.06	89.46	4.55
nocache	druid-0	20034.4	539.38	6223.7	236.73	19704.8	339.42	137.02	1.85
nocache	druid-1	15289.4	83.8	5187.7	97.11	13441.9	1150.02	132.38	2.64
envoy-ls	druid-0	6535.6	275.1	3973	103.94	34167.9	769.25	71.91	2.32
envoy-ls	druid-1	6456.9	179.22	3709.7	78.13	30617.7	427.58	71.13	1.41
envoy-ls	skiing-0	6029.9	169.35	3578.6	99.88	26512.7	304.87	70.5	2.4
envoy-ls	skiing-1	6252.7	563.61	3419.5	129.26	20228.3	682.13	70.51	2.65
nocache-ls	druid-0	13260.4	510.93	4754.3	64.54	22031	1146.57	108.16	3.18
nocache-ls	druid-1	12959	523.05	4211.1	68.21	16475.2	765.63	104.06	4.74
nocache-ls	skiing-0	12548.4	731.05	4033.5	71.31	15341.2	1530.42	107.98	2.4
nocache-ls	skiing-1	12168.2	561.39	3624.7	103.21	13051.6	713.25	103.95	5.4
npfs	druid-0	14696.8	736.17	8083.2	244.82	33949.3	892.34	62.78	3.42
npfs	druid-1	15829.9	946.29	7574.7	451.39	29873.3	746.42	65.4	2.55
npfs	skiing-0	15823.6	574.74	6459	113.54	22531.9	579.44	65.18	2.37
npfs	skiing-1	15314.3	542.68	6039.1	80.48	19644.5	436.13	66.66	2.42
nfs	druid-0	14321.3	1854.85	1208.4	29.4	26267.2	2589.59	76.84	10.3
nfs	druid-1	15445.3	715.29	5715.2	186	28891.6	497.25	91.25	8.77
nfs	skiing-0	13766.4	554.55	5682.1	231.87	25063.7	1073.88	93.57	4.16
nfs	skiing-1	14909.5	992.65	6441.6	472.21	33894.5	901.86	94.03	3.29
