"name"	"dirs"	"files"	"meansize"	"stdev"
"/local/scratch/rgr22/linux-2.6.18"	17	8	31278.38	32426.28
"/local/scratch/rgr22/linux-2.6.18/usr"	0	5	3037	3835.29
"/local/scratch/rgr22/linux-2.6.18/sound"	15	5	3990	5025.06
"/local/scratch/rgr22/linux-2.6.18/sound/usb"	1	8	32844.88	33427.65
"/local/scratch/rgr22/linux-2.6.18/sound/usb/usx2y"	0	10	8406.7	10627.83
"/local/scratch/rgr22/linux-2.6.18/sound/synth"	1	2	2647	2055
"/local/scratch/rgr22/linux-2.6.18/sound/synth/emux"	0	11	11136	10766.97
"/local/scratch/rgr22/linux-2.6.18/sound/sparc"	0	5	36537.2	33462.17
"/local/scratch/rgr22/linux-2.6.18/sound/ppc"	0	14	11654.14	12117.71
"/local/scratch/rgr22/linux-2.6.18/sound/pcmcia"	2	2	381	264
"/local/scratch/rgr22/linux-2.6.18/sound/pcmcia/vx"	0	5	6627.8	5585.08
"/local/scratch/rgr22/linux-2.6.18/sound/pcmcia/pdaudiocf"	0	6	6882	3260.08
"/local/scratch/rgr22/linux-2.6.18/sound/pci"	19	26	47282.88	28251.1
"/local/scratch/rgr22/linux-2.6.18/sound/pci/ymfpci"	0	4	36233	30701.79
"/local/scratch/rgr22/linux-2.6.18/sound/pci/vx222"	0	4	11648	13628.6
"/local/scratch/rgr22/linux-2.6.18/sound/pci/trident"	0	5	36429.4	46146.93
"/local/scratch/rgr22/linux-2.6.18/sound/pci/rme9652"	0	4	81018.5	53032.97
"/local/scratch/rgr22/linux-2.6.18/sound/pci/riptide"	0	2	32868.5	32794.5
"/local/scratch/rgr22/linux-2.6.18/sound/pci/pcxhr"	0	9	14878	15110.49
"/local/scratch/rgr22/linux-2.6.18/sound/pci/nm256"	0	3	118312.67	135511.99
"/local/scratch/rgr22/linux-2.6.18/sound/pci/mixart"	0	9	17265.33	15736.82
"/local/scratch/rgr22/linux-2.6.18/sound/pci/korg1212"	0	3	56463.67	39982.77
"/local/scratch/rgr22/linux-2.6.18/sound/pci/ice1712"	0	29	14277.48	21154.11
"/local/scratch/rgr22/linux-2.6.18/sound/pci/hda"	0	14	40405.43	57748.32
"/local/scratch/rgr22/linux-2.6.18/sound/pci/emu10k1"	0	22	19714.59	22144.84
"/local/scratch/rgr22/linux-2.6.18/sound/pci/echoaudio"	0	32	8450.31	11123.62
"/local/scratch/rgr22/linux-2.6.18/sound/pci/cs5535audio"	0	5	6287.6	4791.84
"/local/scratch/rgr22/linux-2.6.18/sound/pci/cs46xx"	1	8	48752.5	53162.05
"/local/scratch/rgr22/linux-2.6.18/sound/pci/cs46xx/imgs"	0	7	17239.43	29032.35
"/local/scratch/rgr22/linux-2.6.18/sound/pci/ca0106"	0	7	18991.71	17588.02
"/local/scratch/rgr22/linux-2.6.18/sound/pci/au88x0"	0	25	9916.44	15908.02
"/local/scratch/rgr22/linux-2.6.18/sound/pci/ali5451"	0	2	30674.5	30490.5
"/local/scratch/rgr22/linux-2.6.18/sound/pci/ac97"	0	10	25069.5	34103.59
"/local/scratch/rgr22/linux-2.6.18/sound/parisc"	0	4	7831.75	10618.3
"/local/scratch/rgr22/linux-2.6.18/sound/oss"	3	148	27431.89	40993.89
"/local/scratch/rgr22/linux-2.6.18/sound/oss/emu10k1"	0	35	9255.43	10800.39
"/local/scratch/rgr22/linux-2.6.18/sound/oss/dmasound"	0	21	17395.1	20929.24
"/local/scratch/rgr22/linux-2.6.18/sound/oss/cs4281"	0	6	33403.83	48918.13
"/local/scratch/rgr22/linux-2.6.18/sound/mips"	0	3	6551.67	8971.56
"/local/scratch/rgr22/linux-2.6.18/sound/isa"	8	11	20541.36	19539.2
"/local/scratch/rgr22/linux-2.6.18/sound/isa/wavefront"	0	5	25782	18518.23
"/local/scratch/rgr22/linux-2.6.18/sound/isa/sb"	0	18	16080.72	13324.83
"/local/scratch/rgr22/linux-2.6.18/sound/isa/opti9xx"	0	6	16585.5	23513.77
"/local/scratch/rgr22/linux-2.6.18/sound/isa/gus"	0	24	9827.42	7666.21
"/local/scratch/rgr22/linux-2.6.18/sound/isa/es1688"	0	3	12809.33	13286.31
"/local/scratch/rgr22/linux-2.6.18/sound/isa/cs423x"	0	6	21339	21311.02
"/local/scratch/rgr22/linux-2.6.18/sound/isa/ad1848"	0	3	15132	16881.75
"/local/scratch/rgr22/linux-2.6.18/sound/isa/ad1816a"	0	3	13311	12056.24
"/local/scratch/rgr22/linux-2.6.18/sound/i2c"	2	4	9802.25	6528.73
"/local/scratch/rgr22/linux-2.6.18/sound/i2c/other"	0	5	12078	7404.03
"/local/scratch/rgr22/linux-2.6.18/sound/i2c/l3"	0	2	14516.5	14390.5
"/local/scratch/rgr22/linux-2.6.18/sound/drivers"	4	6	13502.5	11321.82
"/local/scratch/rgr22/linux-2.6.18/sound/drivers/vx"	0	8	14102.5	12036.43
"/local/scratch/rgr22/linux-2.6.18/sound/drivers/opl4"	0	8	13518	17606.92
"/local/scratch/rgr22/linux-2.6.18/sound/drivers/opl3"	0	8	9628.25	6484.9
"/local/scratch/rgr22/linux-2.6.18/sound/drivers/mpu401"	0	3	8192.33	6752.93
"/local/scratch/rgr22/linux-2.6.18/sound/core"	2	29	17772.28	21555.71
"/local/scratch/rgr22/linux-2.6.18/sound/core/seq"	2	30	9995.4	12397.74
"/local/scratch/rgr22/linux-2.6.18/sound/core/seq/oss"	0	18	6035.39	4841.38
"/local/scratch/rgr22/linux-2.6.18/sound/core/seq/instr"	0	5	7896.2	5648.73
"/local/scratch/rgr22/linux-2.6.18/sound/core/oss"	0	12	17189.17	22847.52
"/local/scratch/rgr22/linux-2.6.18/sound/arm"	0	10	8172.8	9229.8
"/local/scratch/rgr22/linux-2.6.18/sound/aoa"	4	4	1685.25	1539.4
"/local/scratch/rgr22/linux-2.6.18/sound/aoa/soundbus"	1	5	2798.8	2791.99
